Measured Tx,,,,,,"Clock Speeds from documentation, in GHz",,,,
100000,,,,,,,,,,
,,,,,,,,,,
Pred. Error (100000),Bridges,Comet,SuperMIC,,,,,,,
min_clkspeed,,,,,,,,,,
max_clkspeed,,,,,,,,,,
actual_clkspeed,,,,,,,,,,
,,,,,,,,,,
"OSG, Predicted number of cycles",,,,,,,,,,
Actual Tx (OSG),,,,,,,,,,
Timesteps,avg_tx,samp_std,ci,,,,,,,
100000,11381.0104897959,2069.165919151,240.7925995363,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Predicted Tx,OSG,,,,,,,,,
Avg Base Freq,12362.2251289784,,,,,,,,,
Avg Max Freq,10001.8002661638,,,,,,,,,
Min Freq,17169.7571235811,,,,,,,,,
Max Freq,7726.3907056115,,,,,,,,,
,,,,,,,,,,
Pred. Error (100000),OSG,,,,,,,,,
Avg Base Freq,8.6215072033,,,,,,,,,
Avg Max Freq,12.1185216802,,,,,,,,,
Min Freq,50.863204449,,,,,,,,,
Max Freq,32.111557998,,,,,,,,,
